intensities	type	dataset	set
563	oob_red	KI_val	Biobanked samples
656	oob_red	KI_val	Biobanked samples
646	oob_red	KI_val	Biobanked samples
769	oob_red	KI_val	Biobanked samples
713	oob_red	KI_val	Biobanked samples
628.5	oob_red	KI_val	Biobanked samples
827	oob_red	KI_val	Biobanked samples
856	oob_red	KI_val	Biobanked samples
521	oob_red	KI_val	Biobanked samples
661	oob_red	KI_val	Biobanked samples
716	oob_red	KI_val	Biobanked samples
621	oob_red	KI_val	Biobanked samples
515	oob_red	KI_val	Biobanked samples
668	oob_red	KI_val	Biobanked samples
621	oob_red	KI_val	Biobanked samples
588	oob_red	KI_val	Biobanked samples
407	oob_red	KI_val	Biobanked samples
513	oob_red	KI_val	Biobanked samples
554	oob_red	KI_val	Biobanked samples
571	oob_red	KI_val	Biobanked samples
573	oob_red	KI_val	Biobanked samples
648	oob_red	KI_val	Biobanked samples
733	oob_red	KI_val	Biobanked samples
632	oob_red	KI_val	Biobanked samples
419	oob_red	KI_val	Biobanked samples
456	oob_red	KI_val	Biobanked samples
428	oob_red	KI_val	Biobanked samples
445	oob_red	KI_val	Biobanked samples
599	oob_red	KI_val	Biobanked samples
628	oob_red	KI_val	Biobanked samples
551	oob_red	KI_val	Biobanked samples
469	oob_red	KI_val	Biobanked samples
426	oob_red	KI_val	Biobanked samples
517	oob_red	KI_val	Biobanked samples
513	oob_red	KI_val	Biobanked samples
545	oob_red	KI_val	Biobanked samples
755	oob_red	KI_val	Biobanked samples
732	oob_red	KI_val	Biobanked samples
511	oob_red	KI_val	Biobanked samples
651	oob_red	KI_val	Biobanked samples
722	oob_red	KI_val	Biobanked samples
672	oob_red	KI_val	Biobanked samples
659	oob_red	KI_val	Biobanked samples
643	oob_red	KI_val	Biobanked samples
356	oob_red	KI_val	Biobanked samples
472	oob_red	KI_val	Biobanked samples
377	oob_red	KI_val	Biobanked samples
400	oob_red	KI_val	Biobanked samples
424	oob_red	KI_val	Biobanked samples
448	oob_red	KI_val	Biobanked samples
468	oob_red	KI_val	Biobanked samples
445	oob_red	KI_val	Biobanked samples
576	oob_red	KI_val	Biobanked samples
644	oob_red	KI_val	Biobanked samples
703	oob_red	KI_val	Biobanked samples
658	oob_red	KI_val	Biobanked samples
577	oob_red	KI_val	Biobanked samples
613	oob_red	KI_val	Biobanked samples
670	oob_red	KI_val	Biobanked samples
624	oob_red	KI_val	Biobanked samples
559	oob_red	KI_val	Biobanked samples
608	oob_red	KI_val	Biobanked samples
515	oob_red	KI_val	Biobanked samples
533	oob_red	KI_val	Biobanked samples
487	oob_red	KI_val	Biobanked samples
576	oob_red	KI_val	Biobanked samples
560	oob_red	KI_val	Biobanked samples
517	oob_red	KI_val	Biobanked samples
877	oob_red	KI_val	Biobanked samples
852	oob_red	KI_val	Biobanked samples
741	oob_red	KI_val	Biobanked samples
767	oob_red	KI_val	Biobanked samples
556	oob_red	KI_val	Biobanked samples
620	oob_red	KI_val	Biobanked samples
662	oob_red	KI_val	Biobanked samples
580	oob_red	KI_val	Biobanked samples
482	oob_red	KI_val	Biobanked samples
533	oob_red	KI_val	Biobanked samples
537	oob_red	KI_val	Biobanked samples
534	oob_red	KI_val	Biobanked samples
351.5	oob_red	KI_val	Biobanked samples
481	oob_red	KI_val	Biobanked samples
433	oob_red	KI_val	Biobanked samples
433.5	oob_red	KI_val	Biobanked samples
390	oob_red	KI_val	Biobanked samples
478	oob_red	KI_val	Biobanked samples
735	oob_red	KI_val	Biobanked samples
843.5	oob_red	KI_val	Biobanked samples
571.5	oob_red	KI_val	Biobanked samples
610	oob_red	KI_val	Biobanked samples
617	oob_red	KI_val	Biobanked samples
623	oob_red	KI_val	Biobanked samples
520	oob_red	KI_val	Biobanked samples
567	oob_red	KI_val	Biobanked samples
508	oob_red	KI_val	Biobanked samples
458	oob_red	KI_val	Biobanked samples
382	oob_red	KI_val	Biobanked samples
424	oob_red	KI_val	Biobanked samples
432	oob_red	KI_val	Biobanked samples
462	oob_red	KI_val	Biobanked samples
460	oob_red	KI_val	Biobanked samples
454	oob_red	KI_val	Biobanked samples
489	oob_red	KI_val	Biobanked samples
412	oob_red	KI_val	Biobanked samples
334	oob_red	KI_val	Biobanked samples
350	oob_red	KI_val	Biobanked samples
520	oob_red	KI_val	Biobanked samples
502	oob_red	KI_val	Biobanked samples
487	oob_red	KI_val	Biobanked samples
401	oob_red	KI_val	Biobanked samples
589	oob_red	KI_val	Biobanked samples
476	oob_red	KI_val	Biobanked samples
465	oob_red	KI_val	Biobanked samples
461	oob_red	KI_val	Biobanked samples
525	oob_red	KI_val	Biobanked samples
542	oob_red	KI_val	Biobanked samples
427	oob_red	KI_val	Biobanked samples
572	oob_red	KI_val	Biobanked samples
600	oob_red	KI_val	Biobanked samples
673	oob_red	KI_val	Biobanked samples
360	oob_red	KI_val	Biobanked samples
416	oob_red	KI_val	Biobanked samples
475	oob_red	KI_val	Biobanked samples
450	oob_red	KI_val	Biobanked samples
423	oob_red	KI_val	Biobanked samples
485	oob_red	KI_val	Biobanked samples
447	oob_red	KI_val	Biobanked samples
498	oob_red	KI_val	Biobanked samples
349	oob_red	KI_val	Biobanked samples
406	oob_red	KI_val	Biobanked samples
464	oob_red	KI_val	Biobanked samples
446	oob_red	KI_val	Biobanked samples
342	oob_red	KI_val	Biobanked samples
530	oob_red	KI_val	Biobanked samples
585	oob_red	KI_val	Biobanked samples
668	oob_red	KI_val	Biobanked samples
532	oob_red	KI_val	Biobanked samples
553	oob_red	KI_val	Biobanked samples
617	oob_red	KI_val	Biobanked samples
680	oob_red	KI_val	Biobanked samples
577	oob_red	KI_val	Biobanked samples
661	oob_red	KI_val	Biobanked samples
665	oob_red	KI_val	Biobanked samples
659	oob_red	KI_val	Biobanked samples
631	oob_red	KI_val	Biobanked samples
396	oob_red	KI_val	Biobanked samples
464	oob_red	KI_val	Biobanked samples
490	oob_red	KI_val	Biobanked samples
411	oob_red	KI_val	Biobanked samples
546	oob_red	KI_val	Biobanked samples
616	oob_red	KI_val	Biobanked samples
617	oob_red	KI_val	Biobanked samples
578	oob_red	KI_val	Biobanked samples
575	oob_red	KI_val	Biobanked samples
576	oob_red	KI_val	Biobanked samples
407	oob_red	KI_val	Biobanked samples
418	oob_red	KI_val	Biobanked samples
557	oob_red	KI_val	Biobanked samples
553	oob_red	KI_val	Biobanked samples
594	oob_red	KI_val	Biobanked samples
391	oob_red	KI_val	Biobanked samples
369	oob_red	KI_val	Biobanked samples
459	oob_red	KI_val	Biobanked samples
501	oob_red	KI_val	Biobanked samples
508.5	oob_red	KI_val	Biobanked samples
282	oob_red	KI_val	Biobanked samples
329	oob_red	KI_val	Biobanked samples
340	oob_red	KI_val	Biobanked samples
336	oob_red	KI_val	Biobanked samples
326	oob_red	KI_val	Biobanked samples
206	oob_red	KI_val	Biobanked samples
223	oob_red	KI_val	Biobanked samples
307	oob_red	KI_val	Biobanked samples
522	oob_red	KI_val	Biobanked samples
484	oob_red	KI_val	Biobanked samples
292	oob_red	KI_val	Biobanked samples
309	oob_red	KI_val	Biobanked samples
400	oob_red	KI_val	Biobanked samples
508	oob_red	KI_val	Biobanked samples
545	oob_red	KI_val	Biobanked samples
465	oob_red	KI_val	Biobanked samples
559	oob_red	KI_val	Biobanked samples
581	oob_red	KI_val	Biobanked samples
534	oob_red	KI_val	Biobanked samples
667	oob_red	KI_val	Biobanked samples
465	oob_red	KI_val	Biobanked samples
573	oob_red	KI_val	Biobanked samples
476	oob_red	KI_val	Biobanked samples
516	oob_red	KI_val	Biobanked samples
478	oob_red	KI_val	Biobanked samples
577	oob_red	KI_val	Biobanked samples
588	oob_red	KI_val	Biobanked samples
569	oob_red	KI_val	Biobanked samples
652	oob_red	KI_val	Biobanked samples
698	oob_red	KI_val	Biobanked samples
602	oob_red	KI_val	Biobanked samples
668	oob_red	KI_val	Biobanked samples
702	oob_red	KI_val	Biobanked samples
760	oob_red	KI_val	Biobanked samples
689	oob_red	KI_val	Biobanked samples
324	oob_red	KI_val	Biobanked samples
386	oob_red	KI_val	Biobanked samples
371	oob_red	KI_val	Biobanked samples
366	oob_red	KI_val	Biobanked samples
443	oob_red	KI_val	Biobanked samples
331	oob_red	KI_val	Biobanked samples
369	oob_red	KI_val	Biobanked samples
396	oob_red	KI_val	Biobanked samples
442	oob_red	KI_val	Biobanked samples
443	oob_red	KI_val	Biobanked samples
567	oob_red	KI_val	Biobanked samples
589	oob_red	KI_val	Biobanked samples
667	oob_red	KI_val	Biobanked samples
757	oob_red	KI_val	Biobanked samples
738	oob_red	KI_val	Biobanked samples
496	oob_red	KI_val	Biobanked samples
551	oob_red	KI_val	Biobanked samples
625	oob_red	KI_val	Biobanked samples
680	oob_red	KI_val	Biobanked samples
731	oob_red	KI_val	Biobanked samples
455	oob_red	KI_val	Biobanked samples
488	oob_red	KI_val	Biobanked samples
511	oob_red	KI_val	Biobanked samples
507	oob_red	KI_val	Biobanked samples
491	oob_red	KI_val	Biobanked samples
353	oob_red	KI_val	Biobanked samples
490	oob_red	KI_val	Biobanked samples
474.5	oob_red	KI_val	Biobanked samples
496	oob_red	KI_val	Biobanked samples
482	oob_red	KI_val	Biobanked samples
246	oob_red	KI_val	Biobanked samples
599	oob_red	KI_val	Biobanked samples
506	oob_red	KI_val	Biobanked samples
428	oob_red	KI_val	Biobanked samples
395	oob_red	KI_val	Biobanked samples
431	oob_red	KI_val	Biobanked samples
418	oob_red	KI_val	Biobanked samples
439	oob_red	KI_val	Biobanked samples
454	oob_red	KI_val	Biobanked samples
432	oob_red	KI_val	Biobanked samples
396	oob_red	KI_val	Biobanked samples
378	oob_red	KI_val	Biobanked samples
445	oob_red	KI_val	Biobanked samples
472	oob_red	KI_val	Biobanked samples
453	oob_red	KI_val	Biobanked samples
313	oob_red	KI_val	Biobanked samples
378	oob_red	KI_val	Biobanked samples
449	oob_red	KI_val	Biobanked samples
407	oob_red	KI_val	Biobanked samples
405	oob_red	KI_val	Biobanked samples
412	oob_red	KI_val	Biobanked samples
463	oob_red	KI_val	Biobanked samples
470	oob_red	KI_val	Biobanked samples
531	oob_red	KI_val	Biobanked samples
545	oob_red	KI_val	Biobanked samples
390	oob_red	KI_val	Biobanked samples
509	oob_red	KI_val	Biobanked samples
501	oob_red	KI_val	Biobanked samples
595	oob_red	KI_val	Biobanked samples
597	oob_red	KI_val	Biobanked samples
338	oob_red	KI_val	Biobanked samples
289	oob_red	KI_val	Biobanked samples
311	oob_red	KI_val	Biobanked samples
293	oob_red	KI_val	Biobanked samples
353	oob_red	KI_val	Biobanked samples
304	oob_red	KI_val	Biobanked samples
325	oob_red	KI_val	Biobanked samples
387	oob_red	KI_val	Biobanked samples
366	oob_red	KI_val	Biobanked samples
377	oob_red	KI_val	Biobanked samples
602	oob_red	KI_val	Biobanked samples
687	oob_red	KI_val	Biobanked samples
656	oob_red	KI_val	Biobanked samples
641	oob_red	KI_val	Biobanked samples
650	oob_red	KI_val	Biobanked samples
529	oob_red	KI_val	Biobanked samples
622	oob_red	KI_val	Biobanked samples
599	oob_red	KI_val	Biobanked samples
600	oob_red	KI_val	Biobanked samples
596	oob_red	KI_val	Biobanked samples
395	oob_red	KI_val	Biobanked samples
470	oob_red	KI_val	Biobanked samples
590	oob_red	KI_val	Biobanked samples
499	oob_red	KI_val	Biobanked samples
524	oob_red	KI_val	Biobanked samples
442	oob_red	KI_val	Biobanked samples
450	oob_red	KI_val	Biobanked samples
461	oob_red	KI_val	Biobanked samples
418	oob_red	KI_val	Biobanked samples
452	oob_red	KI_val	Biobanked samples
703	oob_red	KI_val	Biobanked samples
785	oob_red	KI_val	Biobanked samples
700	oob_red	KI_val	Biobanked samples
767.5	oob_red	KI_val	Biobanked samples
732	oob_red	KI_val	Biobanked samples
700	oob_red	KI_val	Biobanked samples
718	oob_red	KI_val	Biobanked samples
673	oob_red	KI_val	Biobanked samples
725	oob_red	KI_val	Biobanked samples
607	oob_red	KI_val	Biobanked samples
446	oob_red	KI_val	Biobanked samples
484	oob_red	KI_val	Biobanked samples
522	oob_red	KI_val	Biobanked samples
523	oob_red	KI_val	Biobanked samples
505	oob_red	KI_val	Biobanked samples
479	oob_red	KI_val	Biobanked samples
552	oob_red	KI_val	Biobanked samples
545	oob_red	KI_val	Biobanked samples
400	oob_red	KI_val	Biobanked samples
404	oob_red	KI_val	Biobanked samples
836	oob_red	KI_val	Biobanked samples
742	oob_red	KI_val	Biobanked samples
726	oob_red	KI_val	Biobanked samples
715	oob_red	KI_val	Biobanked samples
597	oob_red	KI_val	Biobanked samples
663	oob_red	KI_val	Biobanked samples
771	oob_red	KI_val	Biobanked samples
740	oob_red	KI_val	Biobanked samples
567	oob_red	KI_val	Biobanked samples
676	oob_red	KI_val	Biobanked samples
609	oob_red	KI_val	Biobanked samples
782	oob_red	KI_val	Biobanked samples
788	oob_red	KI_val	Biobanked samples
789	oob_red	KI_val	Biobanked samples
665	oob_red	KI_val	Biobanked samples
524	oob_red	KI_val	Biobanked samples
683	oob_red	KI_val	Biobanked samples
558	oob_red	KI_val	Biobanked samples
560	oob_red	KI_val	Biobanked samples
558	oob_red	KI_val	Biobanked samples
597	oob_red	KI_val	Biobanked samples
624	oob_red	KI_val	Biobanked samples
621	oob_red	KI_val	Biobanked samples
729	oob_red	KI_val	Biobanked samples
617	oob_red	KI_val	Biobanked samples
504	oob_red	KI_val	Biobanked samples
538	oob_red	KI_val	Biobanked samples
557	oob_red	KI_val	Biobanked samples
583	oob_red	KI_val	Biobanked samples
623	oob_red	KI_val	Biobanked samples
571	oob_red	KI_val	Biobanked samples
491	oob_red	KI_val	Biobanked samples
546	oob_red	KI_val	Biobanked samples
537	oob_red	KI_val	Biobanked samples
496	oob_red	KI_val	Biobanked samples
430	oob_red	KI_val	Biobanked samples
450	oob_red	KI_val	Biobanked samples
580	oob_red	KI_val	Biobanked samples
1041	oob_red	KI_val	Biobanked samples
969	oob_red	KI_val	Biobanked samples
1326	oob_red	KI_val	Biobanked samples
782	oob_red	KI_val	Biobanked samples
1375.5	oob_red	KI_val	Biobanked samples
1726	oob_red	KI_val	Biobanked samples
2010	oob_red	KI_val	Biobanked samples
483	oob_red	KI_val	Biobanked samples
582	oob_red	KI_val	Biobanked samples
588	oob_red	KI_val	Biobanked samples
557	oob_red	KI_val	Biobanked samples
466	oob_red	KI_val	Biobanked samples
638	oob_red	KI_val	Biobanked samples
778	oob_red	KI_val	Biobanked samples
778	oob_red	KI_val	Biobanked samples
683	oob_red	KI_val	Biobanked samples
668	oob_red	KI_val	Biobanked samples
351	oob_red	KI_val	Biobanked samples
365	oob_red	KI_val	Biobanked samples
354	oob_red	KI_val	Biobanked samples
340	oob_red	KI_val	Biobanked samples
330	oob_red	KI_val	Biobanked samples
521	oob_red	KI_val	Biobanked samples
596	oob_red	KI_val	Biobanked samples
609	oob_red	KI_val	Biobanked samples
728	oob_red	KI_val	Biobanked samples
676	oob_red	KI_val	Biobanked samples
479	oob_red	KI_val	Biobanked samples
487	oob_red	KI_val	Biobanked samples
487	oob_red	KI_val	Biobanked samples
474	oob_red	KI_val	Biobanked samples
512	oob_red	KI_val	Biobanked samples
504	oob_red	KI_val	Biobanked samples
526	oob_red	KI_val	Biobanked samples
552	oob_red	KI_val	Biobanked samples
531	oob_red	KI_val	Biobanked samples
574	oob_red	KI_val	Biobanked samples
478	oob_red	KI_val	Biobanked samples
513	oob_red	KI_val	Biobanked samples
504	oob_red	KI_val	Biobanked samples
465	oob_red	KI_val	Biobanked samples
662	oob_red	KI_val	Biobanked samples
401	oob_red	KI_val	Biobanked samples
376	oob_red	KI_val	Biobanked samples
365	oob_red	KI_val	Biobanked samples
406	oob_red	KI_val	Biobanked samples
429	oob_red	KI_val	Biobanked samples
455	oob_red	KI_val	Biobanked samples
494	oob_red	KI_val	Biobanked samples
486	oob_red	KI_val	Biobanked samples
431	oob_red	KI_val	Biobanked samples
440	oob_red	KI_val	Biobanked samples
485	oob_red	3C_dis	Discovery samples
560	oob_red	3C_dis	Discovery samples
550	oob_red	3C_dis	Discovery samples
579	oob_red	3C_dis	Discovery samples
745	oob_red	3C_dis	Discovery samples
723.5	oob_red	3C_dis	Discovery samples
745	oob_red	3C_dis	Discovery samples
767	oob_red	3C_dis	Discovery samples
537	oob_red	3C_dis	Discovery samples
677	oob_red	3C_dis	Discovery samples
711	oob_red	3C_dis	Discovery samples
703	oob_red	3C_dis	Discovery samples
654	oob_red	3C_dis	Discovery samples
689	oob_red	3C_dis	Discovery samples
810	oob_red	3C_dis	Discovery samples
821	oob_red	3C_dis	Discovery samples
637.5	oob_red	3C_dis	Discovery samples
670	oob_red	3C_dis	Discovery samples
663	oob_red	3C_dis	Discovery samples
673	oob_red	3C_dis	Discovery samples
675	oob_red	3C_dis	Discovery samples
777	oob_red	3C_dis	Discovery samples
761	oob_red	3C_dis	Discovery samples
777	oob_red	3C_dis	Discovery samples
481	oob_red	3C_dis	Discovery samples
593	oob_red	3C_dis	Discovery samples
609	oob_red	3C_dis	Discovery samples
648	oob_red	3C_dis	Discovery samples
624	oob_red	3C_dis	Discovery samples
672	oob_red	3C_dis	Discovery samples
676	oob_red	3C_dis	Discovery samples
618	oob_red	3C_dis	Discovery samples
436	oob_red	3C_dis	Discovery samples
618	oob_red	3C_dis	Discovery samples
588	oob_red	3C_dis	Discovery samples
594	oob_red	3C_dis	Discovery samples
555	oob_red	3C_dis	Discovery samples
495	oob_red	3C_dis	Discovery samples
713	oob_red	3C_dis	Discovery samples
645	oob_red	3C_dis	Discovery samples
643	oob_red	3C_dis	Discovery samples
720	oob_red	3C_dis	Discovery samples
764	oob_red	3C_dis	Discovery samples
654	oob_red	3C_dis	Discovery samples
699	oob_red	3C_dis	Discovery samples
848	oob_red	3C_dis	Discovery samples
879	oob_red	3C_dis	Discovery samples
801	oob_red	3C_dis	Discovery samples
532	oob_red	3C_dis	Discovery samples
545	oob_red	3C_dis	Discovery samples
561	oob_red	3C_dis	Discovery samples
626	oob_red	3C_dis	Discovery samples
580	oob_red	3C_dis	Discovery samples
568	oob_red	3C_dis	Discovery samples
551	oob_red	3C_dis	Discovery samples
615	oob_red	3C_dis	Discovery samples
501	oob_red	3C_dis	Discovery samples
592	oob_red	3C_dis	Discovery samples
555	oob_red	3C_dis	Discovery samples
529	oob_red	3C_dis	Discovery samples
589	oob_red	3C_dis	Discovery samples
619	oob_red	3C_dis	Discovery samples
734	oob_red	3C_dis	Discovery samples
693	oob_red	3C_dis	Discovery samples
719	oob_red	3C_dis	Discovery samples
704	oob_red	3C_dis	Discovery samples
642	oob_red	3C_dis	Discovery samples
619	oob_red	3C_dis	Discovery samples
614	oob_red	3C_dis	Discovery samples
694	oob_red	3C_dis	Discovery samples
716	oob_red	3C_dis	Discovery samples
704	oob_red	3C_dis	Discovery samples
697	oob_red	3C_dis	Discovery samples
688	oob_red	3C_dis	Discovery samples
698.5	oob_red	3C_dis	Discovery samples
787	oob_red	3C_dis	Discovery samples
487	oob_red	3C_dis	Discovery samples
582	oob_red	3C_dis	Discovery samples
589	oob_red	3C_dis	Discovery samples
635	oob_red	3C_dis	Discovery samples
544	oob_red	3C_dis	Discovery samples
549	oob_red	3C_dis	Discovery samples
580	oob_red	3C_dis	Discovery samples
684.5	oob_red	3C_dis	Discovery samples
493	oob_red	3C_dis	Discovery samples
615	oob_red	3C_dis	Discovery samples
327	oob_red	3C_dis	Discovery samples
689	oob_red	3C_dis	Discovery samples
591	oob_red	3C_dis	Discovery samples
636	oob_red	3C_dis	Discovery samples
663	oob_red	3C_dis	Discovery samples
614.5	oob_red	3C_dis	Discovery samples
502	oob_red	3C_dis	Discovery samples
550	oob_red	3C_dis	Discovery samples
501	oob_red	3C_dis	Discovery samples
534	oob_red	3C_dis	Discovery samples
474	oob_red	3C_dis	Discovery samples
377	oob_red	3C_dis	Discovery samples
436	oob_red	3C_dis	Discovery samples
457	oob_red	3C_dis	Discovery samples
463	oob_red	3C_dis	Discovery samples
559	oob_red	3C_dis	Discovery samples
608	oob_red	3C_dis	Discovery samples
552	oob_red	3C_dis	Discovery samples
665	oob_red	3C_dis	Discovery samples
445	oob_red	3C_dis	Discovery samples
424	oob_red	3C_dis	Discovery samples
494	oob_red	3C_dis	Discovery samples
493	oob_red	3C_dis	Discovery samples
570	oob_red	3C_dis	Discovery samples
613	oob_red	3C_dis	Discovery samples
659	oob_red	3C_dis	Discovery samples
560	oob_red	3C_dis	Discovery samples
424	oob_red	3C_dis	Discovery samples
493	oob_red	3C_dis	Discovery samples
469	oob_red	3C_dis	Discovery samples
540	oob_red	3C_dis	Discovery samples
445	oob_red	3C_dis	Discovery samples
500	oob_red	3C_dis	Discovery samples
503	oob_red	3C_dis	Discovery samples
562	oob_red	3C_dis	Discovery samples
498	oob_red	3C_dis	Discovery samples
483	oob_red	3C_dis	Discovery samples
490	oob_red	3C_dis	Discovery samples
537	oob_red	3C_dis	Discovery samples
511	oob_red	3C_dis	Discovery samples
426	oob_red	3C_dis	Discovery samples
542	oob_red	3C_dis	Discovery samples
507	oob_red	3C_dis	Discovery samples
439	oob_red	3C_dis	Discovery samples
478	oob_red	3C_dis	Discovery samples
478	oob_red	3C_dis	Discovery samples
459	oob_red	3C_dis	Discovery samples
442	oob_red	3C_dis	Discovery samples
464	oob_red	3C_dis	Discovery samples
468	oob_red	3C_dis	Discovery samples
512	oob_red	3C_dis	Discovery samples
546	oob_red	3C_dis	Discovery samples
539	oob_red	3C_dis	Discovery samples
478	oob_red	3C_dis	Discovery samples
524	oob_red	3C_dis	Discovery samples
588	oob_red	3C_dis	Discovery samples
622	oob_red	3C_dis	Discovery samples
628	oob_red	3C_dis	Discovery samples
486	oob_red	3C_dis	Discovery samples
476	oob_red	3C_dis	Discovery samples
448	oob_red	3C_dis	Discovery samples
486	oob_red	3C_dis	Discovery samples
449	oob_red	3C_dis	Discovery samples
485	oob_red	3C_dis	Discovery samples
518	oob_red	3C_dis	Discovery samples
566	oob_red	3C_dis	Discovery samples
562	oob_red	3C_dis	Discovery samples
457.5	oob_red	3C_dis	Discovery samples
447	oob_red	3C_dis	Discovery samples
459	oob_red	3C_dis	Discovery samples
447	oob_red	3C_dis	Discovery samples
538	oob_red	3C_dis	Discovery samples
527	oob_red	3C_dis	Discovery samples
511	oob_red	3C_dis	Discovery samples
598	oob_red	3C_dis	Discovery samples
376	oob_red	3C_dis	Discovery samples
444	oob_red	3C_dis	Discovery samples
482	oob_red	3C_dis	Discovery samples
490	oob_red	3C_dis	Discovery samples
637	oob_red	3C_dis	Discovery samples
634	oob_red	3C_dis	Discovery samples
624	oob_red	3C_dis	Discovery samples
614	oob_red	3C_dis	Discovery samples
372	oob_red	3C_dis	Discovery samples
472	oob_red	3C_dis	Discovery samples
494	oob_red	3C_dis	Discovery samples
621	oob_red	3C_dis	Discovery samples
490	oob_red	3C_dis	Discovery samples
573	oob_red	3C_dis	Discovery samples
567	oob_red	3C_dis	Discovery samples
609	oob_red	3C_dis	Discovery samples
751	oob_red	3C_dis	Discovery samples
699	oob_red	3C_dis	Discovery samples
597	oob_red	3C_dis	Discovery samples
638	oob_red	3C_dis	Discovery samples
410	oob_red	3C_dis	Discovery samples
543	oob_red	3C_dis	Discovery samples
533	oob_red	3C_dis	Discovery samples
545.5	oob_red	3C_dis	Discovery samples
622	oob_red	3C_dis	Discovery samples
672	oob_red	3C_dis	Discovery samples
597	oob_red	3C_dis	Discovery samples
632	oob_red	3C_dis	Discovery samples
549	oob_red	3C_dis	Discovery samples
485	oob_red	3C_dis	Discovery samples
522	oob_red	3C_dis	Discovery samples
457	oob_red	3C_dis	Discovery samples
649	oob_red	3C_dis	Discovery samples
882	oob_red	3C_dis	Discovery samples
759	oob_red	3C_dis	Discovery samples
558	oob_red	3C_dis	Discovery samples
526	oob_red	3C_dis	Discovery samples
583	oob_red	3C_dis	Discovery samples
553	oob_red	3C_dis	Discovery samples
671	oob_red	3C_dis	Discovery samples
503	oob_red	3C_dis	Discovery samples
532	oob_red	3C_dis	Discovery samples
593	oob_red	3C_dis	Discovery samples
